time,run_cnt,dps_x,dps_y,dps_z,cal_adjust_x,cal_adjust_y,cal_adjust_z,deg_x,deg_y,deg_z,cal_x,cal_y,cal_z,notes
2055,0,268,-815,111,,,,,,,,,,Calibrating Gyro
2104,0,431,-954,-200,,,,,,,,,,Calibrating Gyro
2156,0,538,-1001,-126,,,,,,,,,,Calibrating Gyro
2209,0,483,-805,-2,,,,,,,,,,Calibrating Gyro
2259,0,316,-829,100,,,,,,,,,,Calibrating Gyro
2311,0,358,-999,-333,,,,,,,,,,Calibrating Gyro
2363,0,623,-1281,-189,,,,,,,,,,Calibrating Gyro
2416,0,421,-1120,-243,,,,,,,,,,Calibrating Gyro
2469,0,376,-1194,-255,,,,,,,,,,Calibrating Gyro
2522,0,370,-913,-536,,,,,,,,,,Calibrating Gyro
2574,0,467,-1107,-350,,,,,,,,,,Calibrating Gyro
2627,0,439,-1008,-355,,,,,,,,,,Calibrating Gyro
2680,0,625,-1065,-222,,,,,,,,,,Calibrating Gyro
2734,0,491,-1025,-352,,,,,,,,,,Calibrating Gyro
2787,0,382,-1076,48,,,,,,,,,,Calibrating Gyro
2838,0,421,-826,-146,,,,,,,,,,Calibrating Gyro
2890,0,206,-767,14,,,,,,,,,,Calibrating Gyro
2939,0,366,-1042,-182,,,,,,,,,,Calibrating Gyro
2993,0,378,-757,-350,,,,,,,,,,Calibrating Gyro
3045,0,202,-766,-201,,,,,,,,,,Calibrating Gyro
3097,0,547,-1157,-406,,,,,,,,,,Calibrating Gyro
3150,0,593,-1030,-69,,,,,,,,,,Calibrating Gyro
3203,0,373,-1121,-141,,,,,,,,,,Calibrating Gyro
3256,0,530,-1059,-71,,,,,,,,,,Calibrating Gyro
3308,0,383,-1009,-234,,,,,,,,,,Calibrating Gyro
3360,0,439,-986,-103,,,,,,,,,,Calibrating Gyro
3412,0,491,-1258,10,,,,,,,,,,Calibrating Gyro
3464,0,210,-746,43,,,,,,,,,,Calibrating Gyro
3514,0,414,-981,-84,,,,,,,,,,Calibrating Gyro
3565,0,414,-956,-142,,,,,,,,,,Calibrating Gyro
3617,0,402,-857,-48,,,,,,,,,,Calibrating Gyro
3667,0,307,-850,-231,,,,,,,,,,Calibrating Gyro
3720,0,277,-646,110,,,,,,,,,,Calibrating Gyro
3771,0,565,-1099,-456,,,,,,,,,,Calibrating Gyro
3824,0,309,-991,-171,,,,,,,,,,Calibrating Gyro
3876,0,416,-1079,-273,,,,,,,,,,Calibrating Gyro
3930,0,464,-1015,-216,,,,,,,,,,Calibrating Gyro
3983,0,345,-1186,59,,,,,,,,,,Calibrating Gyro
4033,0,328,-937,-356,,,,,,,,,,Calibrating Gyro
4085,0,360,-959,118,,,,,,,,,,Calibrating Gyro
4136,0,155,-562,220,,,,,,,,,,Calibrating Gyro
4188,0,304,-975,4,,,,,,,,,,Calibrating Gyro
4237,0,324,-728,-88,,,,,,,,,,Calibrating Gyro
4287,0,164,-646,192,,,,,,,,,,Calibrating Gyro
4338,0,345,-772,172,,,,,,,,,,Calibrating Gyro
4389,0,479,-1069,-195,,,,,,,,,,Calibrating Gyro
4443,0,384,-977,-89,,,,,,,,,,Calibrating Gyro
4494,0,544,-950,-340,,,,,,,,,,Calibrating Gyro
4546,0,424,-1054,-141,,,,,,,,,,Calibrating Gyro
4598,0,298,-821,-458,,,,,,,,,,Calibrating Gyro
FINAL CALIBRATION VALUES: 394.98,-956.52,-143.06,,,,,,,,,,,,
5707,1,201,-658,8,-193.98,298.52,151.06,0,0,0,394.98,-956.52,-143.06,
5727,1,514,-952,-40,119.02,4.52,103.06,0,0,0,394.98,-956.52,-143.06,
5813,1,342,-862,-267,-52.98,94.52,-123.94,0,0,0,394.98,-956.52,-143.06,
5901,1,288,-823,168,-106.98,133.52,311.06,0,0,0,394.98,-956.52,-143.06,
5990,1,237,-707,-303,-157.98,249.52,-159.94,0,0,0,394.98,-956.52,-143.06,
6081,1,474,-1031,-274,79.02,-74.48,-130.94,0,0,0,394.98,-956.52,-143.06,
6171,1,460,-1059,-226,65.02,-102.48,-82.94,0,0,0,394.98,-956.52,-143.06,
6261,1,213,-984,63,-181.98,-27.48,206.06,0,0,0,394.98,-956.52,-143.06,
6349,1,465,-1101,-299,70.02,-144.48,-155.94,0,0,0,394.98,-956.52,-143.06,
6440,1,272,-855,-73,-122.98,101.52,70.06,0,0,0,394.98,-956.52,-143.06,
6529,2,460,-1025,-28,65.02,-68.48,115.06,-48.38,53.32,18.76,394.98,-956.52,-143.06,
6621,2,209,-547,49,-185.98,409.52,192.06,-48.38,53.32,18.76,394.98,-956.52,-143.06,
6713,2,355,-1145,-152,-39.98,-188.48,-8.94,-48.38,53.32,18.76,394.98,-956.52,-143.06,
6807,2,319,-915,-74,-75.98,41.52,69.06,-48.38,53.32,18.76,394.98,-956.52,-143.06,
6897,2,411,-1247,-167,16.02,-290.48,-23.94,-48.38,53.32,18.76,394.98,-956.52,-143.06,
6991,2,437,-913,-68,42.02,43.52,75.06,-48.38,53.32,18.76,394.98,-956.52,-143.06,
7080,2,337,-1038,-15,-57.98,-81.48,128.06,-48.38,53.32,18.76,394.98,-956.52,-143.06,
7174,2,268,-891,72,-126.98,65.52,215.06,-48.38,53.32,18.76,394.98,-956.52,-143.06,
7265,2,154,-767,148,-240.98,189.52,291.06,-48.38,53.32,18.76,394.98,-956.52,-143.06,
7358,2,411,-1132,-246,16.02,-175.48,-102.94,-48.38,53.32,18.76,394.98,-956.52,-143.06,
7454,3,236,-996,-288,-158.98,-39.48,-144.94,-107.26,47.84,113.72,394.98,-956.52,-143.06,
7552,3,268,-905,-22,-126.98,51.52,121.06,-107.26,47.84,113.72,394.98,-956.52,-143.06,
7646,3,101,-598,62,-293.98,358.52,205.06,-107.26,47.84,113.72,394.98,-956.52,-143.06,
7740,3,377,-986,-206,-17.98,-29.48,-62.94,-107.26,47.84,113.72,394.98,-956.52,-143.06,
7836,3,689,-1208,-312,294.02,-251.48,-168.94,-107.26,47.84,113.72,394.98,-956.52,-143.06,
7934,3,375,-1039,-215,-19.98,-82.48,-71.94,-107.26,47.84,113.72,394.98,-956.52,-143.06,
8031,3,653,-1250,-619,258.02,-293.48,-475.94,-107.26,47.84,113.72,394.98,-956.52,-143.06,
8130,3,347,-969,-66,-47.98,-12.48,77.06,-107.26,47.84,113.72,394.98,-956.52,-143.06,
8223,3,468,-1178,-361,73.02,-221.48,-217.94,-107.26,47.84,113.72,394.98,-956.52,-143.06,
8321,3,475,-971,-444,80.02,-14.48,-300.94,-107.26,47.84,113.72,394.98,-956.52,-143.06,
8417,4,304,-1041,-88,-90.98,-84.48,55.06,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
8509,4,524,-1163,-78,129.02,-206.48,65.06,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
8602,4,390,-957,64,-4.98,-0.48,207.06,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
8691,4,432,-941,-137,37.02,15.52,6.06,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
8780,4,219,-786,-4,-175.98,170.52,139.06,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
8872,4,384,-996,-337,-10.98,-39.48,-193.94,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
8967,4,415,-1231,-242,20.02,-274.48,-98.94,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
9061,4,235,-788,149,-159.98,168.52,292.06,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
9154,4,443,-1066,-206,48.02,-109.48,-62.94,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
9248,4,405,-1007,-122,10.02,-50.48,21.06,-103.34,-5.64,9.68,394.98,-956.52,-143.06,
9341,5,519,-1150,-4,124.02,-193.48,139.06,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
9437,5,296,-893,171,-98.98,63.52,314.06,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
9530,5,201,-776,-7,-193.98,180.52,136.06,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
9624,5,512,-1215,-259,117.02,-258.48,-115.94,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
9722,5,401,-882,144,6.02,74.52,287.06,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
9814,5,346,-851,-164,-48.98,105.52,-20.94,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
9910,5,438,-1071,-53,43.02,-114.48,90.06,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
10004,5,583,-1083,-444,188.02,-126.48,-300.94,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
10103,5,354,-982,-331,-40.98,-25.48,-187.94,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
10202,5,434,-1049,-104,39.02,-92.48,39.06,-123.22,-46.72,52.64,394.98,-956.52,-143.06,
10297,6,266,-831,-172,-128.98,125.52,-28.94,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
10394,6,373,-858,-377,-21.98,98.52,-233.94,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
10490,6,319,-1010,-286,-75.98,-53.48,-142.94,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
10590,6,348,-993,153,-46.98,-36.48,296.06,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
10685,6,391,-1009,-246,-3.98,-52.48,-102.94,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
10782,6,343,-997,-152,-51.98,-40.48,-8.94,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
10878,6,406,-780,117,11.02,176.52,260.06,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
10973,6,406,-1073,-176,11.02,-116.48,-32.94,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
11070,6,442,-643,74,47.02,313.52,217.06,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
11163,6,442,-1094,-502,47.02,-137.48,-358.94,-109.8,-85.4,90.6,394.98,-956.52,-143.06,
11262,7,346,-854,168,-48.98,102.52,311.06,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
11358,7,380,-1015,-373,-14.98,-58.48,-229.94,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
11456,7,475,-991,12,80.02,-34.48,155.06,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
11550,7,245,-923,-128,-149.98,33.52,15.06,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
11645,7,317,-942,-154,-77.98,14.52,-10.94,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
11741,7,462,-1049,72,67.02,-92.48,215.06,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
11835,7,725,-1116,-289,330.02,-159.48,-145.94,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
11935,7,338,-966,-144,-56.98,-9.48,-0.94,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
12029,7,447,-1020,-154,52.02,-63.48,-10.94,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
12126,7,272,-955,-229,-122.98,1.52,-85.94,-131.18,-57.68,76.96,394.98,-956.52,-143.06,
12222,8,419,-1065,-195,24.02,-108.48,-51.94,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12319,8,330,-787,-17,-64.98,169.52,126.06,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12414,8,417,-947,-177,22.02,9.52,-33.94,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12508,8,404,-1090,-429,9.02,-133.48,-285.94,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12606,8,409,-902,-48,14.02,54.52,95.06,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12698,8,453,-1039,28,58.02,-82.48,171.06,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12792,8,431,-1203,30,36.02,-246.48,173.06,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12888,8,441,-1103,-262,46.02,-146.48,-118.94,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
12986,8,407,-997,-220,12.02,-40.48,-76.94,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
13082,8,294,-672,-122,-100.98,284.52,21.06,-125.46,-84.26,98.12,394.98,-956.52,-143.06,
13178,9,470,-1278,-270,75.02,-321.48,-126.94,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13278,9,446,-1225,-71,51.02,-268.48,72.06,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13375,9,420,-1060,-2,25.02,-103.48,141.06,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13471,9,382,-865,-67,-12.98,91.52,76.06,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13565,9,338,-832,-106,-56.98,124.52,37.06,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13663,9,385,-961,77,-9.98,-4.48,220.06,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13756,9,446,-1202,-165,51.02,-245.48,-21.94,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13854,9,474,-1192,-446,79.02,-235.48,-302.94,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
13955,9,393,-902,-181,-1.98,54.52,-37.94,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
14050,9,576,-1209,-404,181.02,-252.48,-260.94,-119.94,-108.24,99.98,394.98,-956.52,-143.06,
14151,10,444,-1041,-67,49.02,-84.48,76.06,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14246,10,353,-1014,-217,-41.98,-57.48,-73.94,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14345,10,429,-880,83,34.02,76.52,226.06,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14438,10,287,-834,-360,-107.98,122.52,-216.94,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14538,10,373,-923,-138,-21.98,33.52,5.06,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14632,10,757,-1223,-291,362.02,-266.48,-147.94,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14733,10,392,-865,-89,-2.98,91.52,54.06,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14827,10,282,-1015,-356,-112.98,-58.48,-212.94,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
14927,10,379,-1014,-180,-15.98,-57.48,-36.94,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
15026,10,214,-776,-175,-180.98,180.52,-31.94,-81.92,-224.32,79.54,394.98,-956.52,-143.06,
15125,11,376,-927,-177,-18.98,29.52,-33.94,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15221,11,383,-769,-126,-11.98,187.52,17.06,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15319,11,271,-919,61,-123.98,37.52,204.06,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15414,11,408,-1249,-200,13.02,-292.48,-56.94,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15512,11,356,-978,-221,-38.98,-21.48,-77.94,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15610,11,383,-887,28,-11.98,69.52,171.06,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15705,11,516,-1196,-301,121.02,-239.48,-157.94,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15805,11,407,-995,-232,12.02,-38.48,-88.94,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15902,11,349,-891,-180,-45.98,65.52,-36.94,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
15998,11,463,-1058,-196,68.02,-101.48,-52.94,-85.9,-226.3,43.6,394.98,-956.52,-143.06,
16098,12,308,-858,-51,-86.98,98.52,92.06,-89.68,-256.68,32.26,394.98,-956.52,-143.06,
16191,12,470,-904,47,75.02,52.52,190.06,-89.68,-256.68,32.26,394.98,-956.52,-143.06,
16285,12,278,-783,-23,-116.98,173.52,120.06,-89.68,-256.68,32.26,394.98,-956.52,-143.06,
16382,12,268,-996,-330,-126.98,-39.48,-186.94,-89.68,-256.68,32.26,394.98,-956.52,-143.06,
