time,run_cnt,dps_x,dps_y,dps_z,deg_x,deg_y,deg_z,cal_x,cal_y,cal_z,notes
1013,0,419,-1071,-530,0,0,0,0,0,0,Calibrating Gyro
1097,0,494,-1120,333,0,0,0,0,0,0,Calibrating Gyro
1172,0,336,-634,-658,0,0,0,0,0,0,Calibrating Gyro
1247,0,397,-855,-388,0,0,0,0,0,0,Calibrating Gyro
1321,0,393,-1126,3,0,0,0,0,0,0,Calibrating Gyro
1394,0,370,-955,120,0,0,0,0,0,0,Calibrating Gyro
1468,0,372,-928,-475,0,0,0,0,0,0,Calibrating Gyro
1544,0,337,-976,-119,0,0,0,0,0,0,Calibrating Gyro
1618,0,499,-888,44,0,0,0,0,0,0,Calibrating Gyro
1691,0,285,-670,140,0,0,0,0,0,0,Calibrating Gyro
1765,0,126,-638,481,0,0,0,0,0,0,Calibrating Gyro
1839,0,506,-915,-227,0,0,0,0,0,0,Calibrating Gyro
1913,0,450,-1143,423,0,0,0,0,0,0,Calibrating Gyro
1988,0,230,-596,-181,0,0,0,0,0,0,Calibrating Gyro
2063,0,391,-923,-261,0,0,0,0,0,0,Calibrating Gyro
2138,0,370,-993,-751,0,0,0,0,0,0,Calibrating Gyro
2212,0,378,-795,-409,0,0,0,0,0,0,Calibrating Gyro
2287,0,460,-1120,-65,0,0,0,0,0,0,Calibrating Gyro
2363,0,358,-824,0,0,0,0,0,0,0,Calibrating Gyro
2435,0,394,-810,-594,0,0,0,0,0,0,Calibrating Gyro
2509,0,389,-1267,-342,0,0,0,0,0,0,Calibrating Gyro
2585,0,263,-834,-42,0,0,0,0,0,0,Calibrating Gyro
2659,0,399,-1032,-159,0,0,0,0,0,0,Calibrating Gyro
2735,0,-363,-324,-2887,0,0,0,0,0,0,Calibrating Gyro
2811,0,606,-1322,2300,0,0,0,0,0,0,Calibrating Gyro
2887,0,499,-782,-1440,0,0,0,0,0,0,Calibrating Gyro
2964,0,467,-1094,1042,0,0,0,0,0,0,Calibrating Gyro
3040,0,180,-653,-494,0,0,0,0,0,0,Calibrating Gyro
3115,0,549,-1264,818,0,0,0,0,0,0,Calibrating Gyro
3189,0,281,-637,-210,0,0,0,0,0,0,Calibrating Gyro
3264,0,584,-1122,502,0,0,0,0,0,0,Calibrating Gyro
3339,0,308,-934,-617,0,0,0,0,0,0,Calibrating Gyro
3414,0,316,-996,56,0,0,0,0,0,0,Calibrating Gyro
3486,0,386,-815,-332,0,0,0,0,0,0,Calibrating Gyro
3561,0,267,-900,37,0,0,0,0,0,0,Calibrating Gyro
3634,0,216,-821,-329,0,0,0,0,0,0,Calibrating Gyro
3709,0,434,-1073,-202,0,0,0,0,0,0,Calibrating Gyro
3785,0,395,-934,-393,0,0,0,0,0,0,Calibrating Gyro
3860,0,387,-926,-314,0,0,0,0,0,0,Calibrating Gyro
3935,0,308,-911,-432,0,0,0,0,0,0,Calibrating Gyro
4009,0,387,-947,10,0,0,0,0,0,0,Calibrating Gyro
4082,0,265,-855,-185,0,0,0,0,0,0,Calibrating Gyro
4157,0,398,-977,250,0,0,0,0,0,0,Calibrating Gyro
4231,0,309,-966,-289,0,0,0,0,0,0,Calibrating Gyro
4305,0,493,-911,118,0,0,0,0,0,0,Calibrating Gyro
4379,0,394,-1019,-585,0,0,0,0,0,0,Calibrating Gyro
4455,0,438,-957,473,0,0,0,0,0,0,Calibrating Gyro
4530,0,166,-832,-1186,0,0,0,0,0,0,Calibrating Gyro
4605,0,411,-900,100,0,0,0,0,0,0,Calibrating Gyro
4679,0,48,-691,-517,0,0,0,0,0,0,Calibrating Gyro
4753,0,312,-838,-506,0,0,0,0,0,0,Calibrating Gyro
4828,0,401,-870,-142,0,0,0,0,0,0,Calibrating Gyro
4902,0,376,-1052,-301,0,0,0,0,0,0,Calibrating Gyro
4978,0,276,-817,462,0,0,0,0,0,0,Calibrating Gyro
5052,0,299,-837,5,0,0,0,0,0,0,Calibrating Gyro
5124,0,377,-963,-314,0,0,0,0,0,0,Calibrating Gyro
5198,0,469,-985,-359,0,0,0,0,0,0,Calibrating Gyro
5273,0,711,-1332,-81,0,0,0,0,0,0,Calibrating Gyro
5348,0,211,-494,-62,0,0,0,0,0,0,Calibrating Gyro
5423,0,281,-700,128,0,0,0,0,0,0,Calibrating Gyro
5496,0,284,-1024,-444,0,0,0,0,0,0,Calibrating Gyro
5572,0,457,-1031,92,0,0,0,0,0,0,Calibrating Gyro
5646,0,273,-980,-1171,0,0,0,0,0,0,Calibrating Gyro
5722,0,722,-1046,-267,0,0,0,0,0,0,Calibrating Gyro
5797,0,419,-1056,-342,0,0,0,0,0,0,Calibrating Gyro
5873,0,462,-880,380,0,0,0,0,0,0,Calibrating Gyro
5947,0,366,-801,99,0,0,0,0,0,0,Calibrating Gyro
