time,run_cnt,dps_x,dps_y,dps_z,deg_x,deg_y,deg_z,cal_x,cal_y,cal_z,notes
1013,0,671,-1101,-63,0,0,0,0,0,0,Calibrating Gyro
1096,0,261,-883,252,0,0,0,0,0,0,Calibrating Gyro
1170,0,502,-1113,-232,0,0,0,0,0,0,Calibrating Gyro
1246,0,249,-654,131,0,0,0,0,0,0,Calibrating Gyro
1319,0,479,-1124,-138,0,0,0,0,0,0,Calibrating Gyro
1395,0,376,-874,146,0,0,0,0,0,0,Calibrating Gyro
1470,0,350,-992,-264,0,0,0,0,0,0,Calibrating Gyro
1545,0,505,-1039,-267,0,0,0,0,0,0,Calibrating Gyro
1620,0,459,-962,-101,0,0,0,0,0,0,Calibrating Gyro
1695,0,489,-792,-208,0,0,0,0,0,0,Calibrating Gyro
1770,0,557,-1040,127,0,0,0,0,0,0,Calibrating Gyro
1845,0,453,-1037,-22,0,0,0,0,0,0,Calibrating Gyro
1920,0,386,-915,112,0,0,0,0,0,0,Calibrating Gyro
1993,0,434,-1128,-207,0,0,0,0,0,0,Calibrating Gyro
2069,0,376,-806,-234,0,0,0,0,0,0,Calibrating Gyro
2145,0,415,-985,-439,0,0,0,0,0,0,Calibrating Gyro
2220,0,531,-1020,-334,0,0,0,0,0,0,Calibrating Gyro
2295,0,381,-723,-71,0,0,0,0,0,0,Calibrating Gyro
2369,0,434,-997,51,0,0,0,0,0,0,Calibrating Gyro
2442,0,478,-1193,-259,0,0,0,0,0,0,Calibrating Gyro
2518,0,394,-872,-88,0,0,0,0,0,0,Calibrating Gyro
2591,0,455,-1126,-427,0,0,0,0,0,0,Calibrating Gyro
2667,0,282,-917,-21,0,0,0,0,0,0,Calibrating Gyro
2741,0,419,-845,-123,0,0,0,0,0,0,Calibrating Gyro
2816,0,283,-1082,-122,0,0,0,0,0,0,Calibrating Gyro
2892,0,439,-919,-195,0,0,0,0,0,0,Calibrating Gyro
2967,0,222,-822,-17,0,0,0,0,0,0,Calibrating Gyro
