time,run_cnt,dps_x,dps_y,dps_z,cal_adjust_x,cal_adjust_y,cal_adjust_z,deg_x,deg_y,deg_z,cal_x,cal_y,cal_z,notes
2055,0,236,-4645,5058,,,,,,,,,,Calibrating Gyro
2107,0,801,731,6036,,,,,,,,,,Calibrating Gyro
2157,0,8939,9054,23031,,,,,,,,,,Calibrating Gyro
2211,0,13368,-7049,32766,,,,,,,,,,Calibrating Gyro
2269,0,4235,-754,30202,,,,,,,,,,Calibrating Gyro
2323,0,5172,4295,32766,,,,,,,,,,Calibrating Gyro
2376,0,4035,104,19526,,,,,,,,,,Calibrating Gyro
2429,0,-5259,11603,-919,,,,,,,,,,Calibrating Gyro
2485,0,-14965,-1643,-9869,,,,,,,,,,Calibrating Gyro
2543,0,-3052,32749,-10038,,,,,,,,,,Calibrating Gyro
2600,0,20593,8233,32766,,,,,,,,,,Calibrating Gyro
2656,0,444,-16197,-684,,,,,,,,,,Calibrating Gyro
2710,0,-5481,23718,8667,,,,,,,,,,Calibrating Gyro
2765,0,-12393,18701,-6588,,,,,,,,,,Calibrating Gyro
2823,0,-15224,32766,-11794,,,,,,,,,,Calibrating Gyro
2881,0,-24251,500,-14555,,,,,,,,,,Calibrating Gyro
2937,0,-32766,10518,-15046,,,,,,,,,,Calibrating Gyro
2997,0,-24237,-2008,-15552,,,,,,,,,,Calibrating Gyro
3055,0,-10214,-5959,-9798,,,,,,,,,,Calibrating Gyro
3112,0,-21295,29902,1275,,,,,,,,,,Calibrating Gyro
3169,0,-7739,6279,-24048,,,,,,,,,,Calibrating Gyro
3225,0,44,4770,3659,,,,,,,,,,Calibrating Gyro
3276,0,2923,14745,3919,,,,,,,,,,Calibrating Gyro
3331,0,-4470,-5358,-5955,,,,,,,,,,Calibrating Gyro
3387,0,-4864,10730,6674,,,,,,,,,,Calibrating Gyro
3442,0,6301,-3742,15020,,,,,,,,,,Calibrating Gyro
3497,0,5752,13432,5146,,,,,,,,,,Calibrating Gyro
3552,0,-6031,19913,17454,,,,,,,,,,Calibrating Gyro
3608,0,11692,-11047,-17753,,,,,,,,,,Calibrating Gyro
3666,0,-11391,1777,16383,,,,,,,,,,Calibrating Gyro
3723,0,4181,25728,-14017,,,,,,,,,,Calibrating Gyro
3780,0,1197,-601,15711,,,,,,,,,,Calibrating Gyro
3833,0,-992,4274,16446,,,,,,,,,,Calibrating Gyro
3888,0,1919,3226,1142,,,,,,,,,,Calibrating Gyro
3941,0,17045,-4636,2230,,,,,,,,,,Calibrating Gyro
3996,0,-4968,32766,-32766,,,,,,,,,,Calibrating Gyro
4055,0,-9711,-10650,15653,,,,,,,,,,Calibrating Gyro
4112,0,7996,367,13306,,,,,,,,,,Calibrating Gyro
4165,0,-17921,3473,-16059,,,,,,,,,,Calibrating Gyro
4222,0,10221,17178,-20411,,,,,,,,,,Calibrating Gyro
4280,0,-7214,5799,-14315,,,,,,,,,,Calibrating Gyro
4336,0,1122,-12000,7798,,,,,,,,,,Calibrating Gyro
4391,0,-6561,8067,-5395,,,,,,,,,,Calibrating Gyro
4447,0,7022,3337,190,,,,,,,,,,Calibrating Gyro
4499,0,5,-9681,-3680,,,,,,,,,,Calibrating Gyro
4551,0,3074,1767,3187,,,,,,,,,,Calibrating Gyro
4604,0,4686,44,84,,,,,,,,,,Calibrating Gyro
4653,0,3735,-3105,-488,,,,,,,,,,Calibrating Gyro
4707,0,4264,-2859,28,,,,,,,,,,Calibrating Gyro
4759,0,-3395,8987,571,,,,,,,,,,Calibrating Gyro
4812,0,154,211,-852,,,,,,,,,,Calibrating Gyro
4864,0,-6447,-10667,2155,,,,,,,,,,Calibrating Gyro
4920,0,-519,1838,1517,,,,,,,,,,Calibrating Gyro
4973,0,-2893,-4210,-3637,,,,,,,,,,Calibrating Gyro
5029,0,1415,-8140,671,,,,,,,,,,Calibrating Gyro
5083,0,1934,653,342,,,,,,,,,,Calibrating Gyro
5134,0,-2490,-1803,198,,,,,,,,,,Calibrating Gyro
5188,0,2358,-2943,-561,,,,,,,,,,Calibrating Gyro
5242,0,-2357,-168,-404,,,,,,,,,,Calibrating Gyro
5297,0,1076,-2864,-382,,,,,,,,,,Calibrating Gyro
5351,0,-319,-2546,-1416,,,,,,,,,,Calibrating Gyro
5406,0,151,-2341,565,,,,,,,,,,Calibrating Gyro
5458,0,-230,-3719,-528,,,,,,,,,,Calibrating Gyro
5513,0,268,-3614,-3227,,,,,,,,,,Calibrating Gyro
5567,0,216,-487,-77,,,,,,,,,,Calibrating Gyro
5617,0,-256,-963,373,,,,,,,,,,Calibrating Gyro
5669,0,303,-970,-543,,,,,,,,,,Calibrating Gyro
5722,0,482,-1196,-456,,,,,,,,,,Calibrating Gyro
5775,0,247,-873,-323,,,,,,,,,,Calibrating Gyro
5827,0,211,-704,220,,,,,,,,,,Calibrating Gyro
5878,0,338,-576,-187,,,,,,,,,,Calibrating Gyro
5931,0,239,-997,-180,,,,,,,,,,Calibrating Gyro
5982,0,496,-1380,411,,,,,,,,,,Calibrating Gyro
6034,0,499,-1038,-180,,,,,,,,,,Calibrating Gyro
6087,0,299,-1299,-325,,,,,,,,,,Calibrating Gyro
6140,0,425,-2023,1484,,,,,,,,,,Calibrating Gyro
6194,0,380,-1144,-365,,,,,,,,,,Calibrating Gyro
6247,0,414,-1178,179,,,,,,,,,,Calibrating Gyro
6299,0,472,-845,233,,,,,,,,,,Calibrating Gyro
6350,0,395,-955,-170,,,,,,,,,,Calibrating Gyro
6402,0,579,-1103,215,,,,,,,,,,Calibrating Gyro
6454,0,419,-1120,-272,,,,,,,,,,Calibrating Gyro
6507,0,277,-899,41,,,,,,,,,,Calibrating Gyro
6557,0,406,-880,-222,,,,,,,,,,Calibrating Gyro
6609,0,273,-1000,-279,,,,,,,,,,Calibrating Gyro
6663,0,474,-825,-77,,,,,,,,,,Calibrating Gyro
6714,0,419,-990,-199,,,,,,,,,,Calibrating Gyro
6765,0,521,-1246,-237,,,,,,,,,,Calibrating Gyro
6818,0,518,-1213,-503,,,,,,,,,,Calibrating Gyro
6872,0,415,-933,-61,,,,,,,,,,Calibrating Gyro
6923,0,560,-801,29,,,,,,,,,,Calibrating Gyro
6973,0,551,-1118,-288,,,,,,,,,,Calibrating Gyro
7026,0,383,-1209,-296,,,,,,,,,,Calibrating Gyro
7079,0,473,-1120,-350,,,,,,,,,,Calibrating Gyro
7133,0,396,-812,137,,,,,,,,,,Calibrating Gyro
7183,0,450,-841,-156,,,,,,,,,,Calibrating Gyro
7235,0,464,-953,86,,,,,,,,,,Calibrating Gyro
7285,0,442,-1101,-385,,,,,,,,,,Calibrating Gyro
7339,0,403,-1257,-217,,,,,,,,,,Calibrating Gyro
7392,0,385,-1130,-242,,,,,,,,,,Calibrating Gyro
7445,0,518,-898,-215,,,,,,,,,,Calibrating Gyro
7497,0,445,-1107,-391,,,,,,,,,,Calibrating Gyro
7549,0,371,-748,8,,,,,,,,,,Calibrating Gyro
7599,0,376,-993,-188,,,,,,,,,,Calibrating Gyro
7651,0,507,-1225,-170,,,,,,,,,,Calibrating Gyro
7704,0,508,-958,-447,,,,,,,,,,Calibrating Gyro
7756,0,567,-1461,-537,,,,,,,,,,Calibrating Gyro
7810,0,253,-921,113,,,,,,,,,,Calibrating Gyro
7861,0,438,-502,-165,,,,,,,,,,Calibrating Gyro
